mssubclass,mszoning,lotfrontage,lotarea,street,alley,lotshape,landcontour,lotconfig,landslope,condition1,condition2,bldgtype,housestyle,overallqual,overallcond,yearbuilt,yearremodadd,roofstyle,roofmatl,exterior1st,exterior2nd,masvnrtype,masvnrarea,exterqual,extercond,foundation,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtfintype2,bsmtfinsf2,bsmtunfsf,totalbsmtsf,heating,heatingqc,centralair,electrical,lowqualfinsf,bsmtfullbath,bsmthalfbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,kitchenqual,totrmsabvgrd,functional,fireplaces,fireplacequ,garagetype,garageyrblt,garagefinish,garagecars,garagequal,garagecond,paveddrive,wooddecksf,openporchsf,enclosedporch,3ssnporch,screenporch,poolarea,poolqc,fence,miscfeature,miscval,mosold,yrsold,saletype,salecondition,price_per_sqft
20,RL,60.0,7200,Pave,None,Reg,Lvl,Corner,Gtl,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,GasA,TA,Y,SBrkr,0,0,1,1,0,3,1,Gd,5,Typ,0,None,Detchd,2005.0,Unf,2,TA,TA,Y,222,32,0,0,0,0,None,None,None,0,5,2010,WD,Normal,149.77777777777777
20,RL,98.0,11478,Pave,None,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,GasA,Ex,Y,SBrkr,0,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3,TA,TA,Y,0,50,0,0,0,0,None,None,None,0,5,2010,WD,Normal,179.57746478873239
20,RL,47.0,16321,Pave,None,IR1,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,GasA,TA,Y,SBrkr,0,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1,TA,TA,Y,288,258,0,0,0,0,None,None,None,0,12,2006,WD,Normal,129.6875
30,RM,60.0,6324,Pave,None,IR1,Lvl,Inside,Gtl,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,GasA,Fa,N,SBrkr,0,0,0,1,0,1,1,Fa,4,Typ,0,None,Detchd,1920.0,Unf,1,Fa,TA,Y,49,0,87,0,0,0,None,None,None,0,5,2008,WD,Normal,131.73076923076923
70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,Inside,Gtl,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,GasA,TA,N,SBrkr,0,0,0,1,0,3,1,TA,6,Typ,0,None,Detchd,1920.0,Unf,1,TA,Fa,N,0,54,172,0,0,0,None,MnPrv,None,0,7,2008,WD,Normal,30.372057706909644
20,RL,71.0,8544,Pave,None,IR1,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,GasA,Gd,Y,SBrkr,0,0,0,1,1,3,1,Gd,6,Typ,0,None,Attchd,1966.0,Unf,1,TA,TA,Y,0,65,0,0,0,0,None,MnPrv,None,0,6,2008,WD,Normal,121.62052117263843
20,RL,85.0,11049,Pave,None,Reg,Lvl,Corner,Gtl,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,GasA,Ex,Y,SBrkr,0,0,0,2,0,3,1,Gd,7,Typ,0,None,Attchd,2007.0,RFn,2,TA,TA,Y,0,30,0,0,0,0,None,None,None,0,1,2008,WD,Normal,145.78606158833063
20,RL,70.0,10552,Pave,None,IR1,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,1398,GasA,Gd,Y,SBrkr,0,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,1959.0,RFn,2,TA,TA,Y,0,38,0,0,0,0,None,None,None,0,4,2010,WD,Normal,97.3529411764706
120,RL,60.0,7313,Pave,None,Reg,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,1561,GasA,Ex,Y,SBrkr,0,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,Fin,2,TA,TA,Y,203,47,0,0,0,0,None,None,None,0,8,2007,WD,Normal,177.7706598334401
60,RL,108.0,13418,Pave,None,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,1117,GasA,Ex,Y,SBrkr,0,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004.0,Fin,3,TA,TA,Y,113,32,0,0,0,0,None,None,None,0,9,2006,WD,Normal,126.01957585644372
20,RL,112.0,10859,Pave,None,Reg,Lvl,Corner,Gtl,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,1097,GasA,Ex,Y,SBrkr,0,0,0,1,1,3,1,TA,6,Typ,0,None,Attchd,1995.0,Unf,2,TA,TA,Y,392,64,0,0,0,0,None,None,None,0,6,2009,WD,Normal,132.17866909753874
20,RL,74.0,8532,Pave,None,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,1297,GasA,Gd,Y,SBrkr,0,0,1,1,0,3,1,TA,5,Typ,1,TA,Attchd,1954.0,Fin,2,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,10,2009,WD,Normal,117.96453353893601
20,RL,68.0,7922,Pave,None,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,1057,GasA,TA,Y,SBrkr,0,1,0,1,0,3,1,Gd,5,Typ,0,None,Detchd,1953.0,Unf,1,TA,TA,Y,0,52,0,0,0,0,None,None,None,0,1,2010,WD,Abnorml,103.12204351939451
90,RL,65.0,6040,Pave,None,Reg,Lvl,Inside,Gtl,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,None,None,None,None,0,None,0,0,0,GasA,TA,N,FuseP,0,0,0,2,0,2,2,Fa,6,Typ,0,None,None,0.0,None,0,None,None,N,0,0,0,0,0,0,None,None,None,0,6,2008,WD,AdjLand,71.18055555555556
20,RL,84.0,8658,Pave,None,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,1088,GasA,Ex,Y,SBrkr,0,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1965.0,RFn,2,TA,TA,Y,0,138,0,0,0,0,None,GdWo,None,0,12,2006,WD,Abnorml,120.84592145015105
20,RL,115.0,16905,Pave,None,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,1350,GasA,Gd,Y,SBrkr,0,0,1,1,1,2,1,TA,5,Typ,2,Gd,Attchd,1959.0,RFn,1,TA,TA,P,0,104,0,0,0,0,None,None,None,0,7,2007,WD,Normal,128.0120481927711
85,RL,66.5,9180,Pave,None,IR1,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,840,GasA,Gd,Y,SBrkr,0,1,0,1,0,2,1,Gd,5,Typ,0,None,Attchd,1983.0,RFn,2,TA,Gd,Y,240,0,0,0,0,0,None,MnPrv,None,0,12,2007,WD,Normal,162.89592760180994
20,RL,70.0,9200,Pave,None,IR1,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,938,GasA,TA,Y,SBrkr,0,1,0,1,0,3,1,TA,5,Typ,0,None,Detchd,1977.0,Unf,1,TA,TA,Y,145,0,0,0,0,0,None,MnPrv,None,0,7,2008,WD,Normal,138.8592750533049
20,RL,70.0,7945,Pave,None,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,1150,GasA,Ex,Y,FuseA,0,1,0,1,0,3,1,TA,6,Typ,0,None,Attchd,1959.0,RFn,1,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,5,2006,WD,Normal,122.6086956521739
120,RL,61.0,7658,Pave,None,Reg,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,1752,GasA,Ex,Y,SBrkr,0,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,RFn,2,TA,TA,Y,196,82,0,0,0,0,None,None,None,0,2,2010,WD,Normal,182.59132420091325
50,RL,48.0,12822,Pave,None,IR1,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1351,Unf,0,83,1434,GasA,Ex,Y,SBrkr,0,1,0,1,1,1,1,Gd,6,Typ,1,Ex,Attchd,2003.0,RFn,2,TA,TA,Y,168,43,0,0,198,0,None,None,None,0,8,2009,WD,Abnorml,111.53373662168451
20,FV,84.0,11096,Pave,None,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,GasA,Ex,Y,SBrkr,0,0,0,2,0,3,1,Gd,7,Typ,0,None,Attchd,2006.0,RFn,3,TA,TA,Y,0,146,0,0,0,0,None,None,None,0,7,2007,WD,Normal,150.78502415458937
190,RM,33.0,4456,Pave,None,Reg,Lvl,Inside,Gtl,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,736,736,GasA,Gd,Y,SBrkr,0,0,0,2,0,2,3,TA,8,Typ,0,None,None,0.0,None,0,None,None,N,0,0,102,0,0,0,None,None,None,0,6,2009,New,Partial,77.8236914600551
20,RL,66.0,7742,Pave,None,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,763,Unf,0,192,955,GasA,Ex,Y,SBrkr,0,1,0,1,0,3,1,TA,6,Typ,0,None,Attchd,1966.0,Unf,1,TA,TA,Y,0,0,0,0,0,0,None,MnPrv,None,0,1,2007,WD,Normal,132.98429319371726
60,RL,65.0,13869,Pave,None,IR2,Lvl,Corner,Gtl,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,182,Unf,0,612,794,GasA,Gd,Y,SBrkr,0,0,1,2,0,3,1,TA,6,Typ,0,None,Attchd,1997.0,Fin,2,TA,TA,Y,0,75,0,0,0,0,None,None,None,0,7,2007,WD,Normal,120.40816326530613
50,RM,52.0,6240,Pave,None,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,816,816,GasA,TA,Y,SBrkr,360,0,0,1,0,3,1,TA,6,Typ,1,Gd,Detchd,1985.0,Unf,2,TA,TA,Y,112,0,0,0,0,0,None,MnPrv,Shed,400,9,2006,WD,Normal,97.3639455782313
90,RM,110.0,8472,Grvl,None,IR2,Bnk,Corner,Mod,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,104,GLQ,712,0,816,GasA,TA,N,SBrkr,0,1,0,1,0,2,1,TA,5,Typ,0,None,CarPort,1963.0,Unf,2,TA,TA,Y,106,0,0,0,0,0,None,None,None,0,5,2010,WD,Normal,134.80392156862746
20,RL,68.0,50271,Pave,None,IR1,Low,Inside,Gtl,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,None,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,1810,Unf,0,32,1842,GasA,Gd,Y,SBrkr,0,2,0,0,1,0,1,Gd,5,Typ,1,Gd,Attchd,1981.0,Fin,3,TA,TA,Y,857,72,0,0,0,0,None,None,None,0,11,2006,WD,Normal,209.01194353963083
